identifier	batch
SRR1475909	GTEx_polyA
SRR1475969	GTEx_polyA
SRR1476186	GTEx_polyA
SRR1476279	GTEx_polyA
SRR1476407	GTEx_polyA
SRR1476571	GTEx_polyA
SRR1476614	GTEx_polyA
SRR1476632	GTEx_polyA
SRR1476676	GTEx_polyA
SRR1477080	GTEx_polyA
SRR1477104	GTEx_polyA
SRR1477615	GTEx_polyA
SRR1477634	GTEx_polyA
SRR1478032	GTEx_polyA
SRR1478294	GTEx_polyA
SRR1478768	GTEx_polyA
SRR1479510	GTEx_polyA
SRR1479802	GTEx_polyA
SRR1479912	GTEx_polyA
SRR1480059	GTEx_polyA
SRR1480365	GTEx_polyA
SRR1480479	GTEx_polyA
SRR1480652	GTEx_polyA
SRR1480875	GTEx_polyA
SRR1480988	GTEx_polyA
SRR1481216	GTEx_polyA
SRR1481462	GTEx_polyA
SRR1485167	GTEx_polyA
SRR1485290	GTEx_polyA
SRR1485333	GTEx_polyA
SRR1485459	GTEx_polyA
SRR1485542	GTEx_polyA
SRR1485652	GTEx_polyA
SRR1485789	GTEx_polyA
SRR1485892	GTEx_polyA
SRR1485954	GTEx_polyA
SRR1486097	GTEx_polyA
SRR1486304	GTEx_polyA
SRR1486475	GTEx_polyA
SRR1486496	GTEx_polyA
SRR1486560	GTEx_polyA
SRR1486608	GTEx_polyA
SRR1486626	GTEx_polyA
SRR1486741	GTEx_polyA
SRR1486863	GTEx_polyA
SRR1487107	GTEx_polyA
SRR1487194	GTEx_polyA
SRR1487295	GTEx_polyA
SRR1487321	GTEx_polyA
SRR1487362	GTEx_polyA
SRR1487685	GTEx_polyA
SRR1487825	GTEx_polyA
SRR1488172	GTEx_polyA
SRR1488285	GTEx_polyA
SRR1488349	GTEx_polyA
SRR1488367	GTEx_polyA
SRR1488538	GTEx_polyA
SRR1488562	GTEx_polyA
SRR1488651	GTEx_polyA
SRR1488672	GTEx_polyA
SRR1488751	GTEx_polyA
SRR1489054	GTEx_polyA
SRR1489137	GTEx_polyA
SRR1489155	GTEx_polyA
SRR1489177	GTEx_polyA
SRR1489502	GTEx_polyA
